Time,Test_2,Test_3,Test_4,Test_5,Test_6,Test_22,Test_23,Test_24,Test_25
0,Corner burner on,Corner burner on,Corner burner on,All burners on,All burners on,All burners on,All burners on,All burners on,All burners on
112,,,,,,,,,Stairwell door opened
116,,,,,W double door opened,,,,
130,,,,,,,2nd floor W double door opened,,
144,,,,,,,,Stairwell door opened,
154,,,,  Roof/W double opened,,,,,
175,,,, -,,,,,
179,,,Middle burner on,,,,,,
181,Middle burner on,Middle burner on,,,,,,,
194,,,,,,2nd floor W double door opened,,,
207,,,,,Roof vent opened,,,,
244,,,,,,,,,1st floor W double door opened
252,,,,,,,1st floor W double door opened,,
265,,,,,,,,1st floor W double door opened,
314,,,,,,1st floor W double door opened,,,
327,,,,,All burners off,,,,
353,,,,,,,,,2nd floor W double door opened
360,,,Center burner on,,,,,,
361,Center burner on,Center burner on,,E double door opened,,,,,
369,,,,,E double door opened,,,,
371,,,,,,,1st floor E double door opened,,
383,,,,,,,,2nd floor W double door opened,
415,,,W double door opened,,,,,,
416,,W double door opened,,,,,,,
418,W double door opened,,,,,,,,
445,,,,Roof vent closed,,,,,
450,,,,,,1st floor E double door opened,,,
452,,,,,,,,2nd floor S exterior door closed,
474,,,,,,,,,2nd floor S exterior door opened
494,,,,,All,,,,
498,,,,,,,2nd floor E double door opened,,
502,,,,,,,,2nd floor S exterior door opened,
511,,,,,,2nd floor E exterior door closed,,,
522,,,,,    Vents Closed,,,,
535,,,E double door opened,,,,,,
536,,E double door opened,,,,,,,
538,E double door opened,,,, -,,,,
565,,,,,All burners on,,,,
576,,,,All burners off,,,,,
585,,,,,,2nd floor E double door opened,,,
594,,,,,,,,,PPV fan on
597,,S door opened,S door opened,,,,,,
604,S door opened,,,,,,,,
612,,,,,,,PPV fan on,,
624,,,,,,,,PPV fan on,
652,,,,,,PPV fan on,,,
685,,,,,W double door opened,,,,
720,Center burner off,,,Roof vent opened,,,,,
721,,,,,,,,,All burners off
746,,,,,,,,All burners off,
747,,,,,Roof vent opened,,,,
761,,,,,,,PPV fan off,,
778,,Center burner off,Center burner off,,,,,,
794,,,,,,,All burners off,,
798,,,,,,PPV fan off,,,
829,,,,,,All burners off,,,
836,,,,,,,,,1st floor E double door opened
840,Middle burner off,,,,,,,,
849,,,,,,,2nd floor S exterior door opened,,
868,,,,,All burners off,,,,
877,,,,,,,,2nd floor E double door opened,
897,,,Middle burner off,,,,,,
898,,Middle burner off,,,,,,,
899,,,,,,2nd floor S exterior door opened,,,
911,,,,,E double door opened,,,,
940,,,,,,,PPV fan on,,
961,Corner burner off,,,,,,,,
1012,,,,,All,,,,
1018,,Corner burner off,,,,,,,
1019,,,Corner burner off,,,,,,
1025,,,,,    Vents Closed,,,,
1040,,,,, -,,,,
1065,,,,,,PPV fan on,,,
1075,,,,,All burners on,,,,
1148,,,,All,,,,,
1164,,,,    Vents,,,,,
1176,,,,,,2nd floor S exterior door closed,,,
1179,,,,             Closed,,,,,
1195,,,,,W double door opened,,,,
1287,,,,,Roof vent opened,,,,
1225,,,,,,,,,
1256,PPV fan on,,,All burners on,,,,,
1316,,PPV fan on,,,,,,,
1319,,,PPV fan on,,,,,,
1345,,,,,,,,,
1380,,,PPV fan off,Roof vent opened,,,,,
1387,,,,,All burners off,,,,
1432,,,,W double door opened,,,,,
1446,,,,,E double door opened,,,,
1487,,,PPV fan on,,,,,,
1524,,,,E double door opened,,,,,
1723,,,,Roof vent closed,,,,,
1840,,,,All burners off,,,,,
1890,,,,Roof vent opened,,,,,
1892,PPV fan off,,,,,,,,
2311,,,,All,,,,,
2330,,,,    Vents Closed,,,,,
2387,,,, -,,,,,
2425,,,,All burners on,,,,,
2545,,,,Roof vent opened,,,,,
2632,,,,W double door opened,,,,,
2730,,,,E double door opened,,,,,
2852,,,,Roof vent closed,,,,,
2997,,,,All burners off,,,,,
3086,,,,Roof vent opened,,,,,
